trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category
2025-04-03,4.94,5,0.99,0.2,17300.01,3460.0,4.94,25,Fear,Extreme Fear
2025-04-04,-4.73,3,-1.58,0.67,1930.28,643.43,86.56,28,Fear,Fear
2025-04-05,0.0,4,0.0,0.0,17527.85,4381.96,0.0,30,Fear,Fear
2025-04-06,497.64,3,165.88,0.33,1661.57,553.86,497.64,34,Fear,Fear
2025-04-07,-4545.14,16,-284.07,0.06,25023.68,1563.98,4557.84,23,Extreme Fear,Extreme Fear
2025-04-08,860.19,38,22.64,0.08,146298.12,3849.95,860.8,24,Extreme Fear,Extreme Fear
2025-04-09,1605.93,33,48.66,0.48,282690.79,8566.39,1640.9,18,Extreme Fear,Extreme Fear
2025-04-10,4808.49,54,89.05,0.7,1216699.36,22531.47,4918.82,39,Fear,Fear
2025-04-11,-421.48,8,-52.68,0.25,5978.83,747.35,444.64,25,Fear,Extreme Fear
2025-04-12,87487.3,139,629.41,0.3,3513693.34,25278.37,91842.39,43,Fear,Fear
2025-04-13,921.53,14,65.82,0.29,466096.6,33292.61,1364.7,45,Neutral,Fear
2025-04-14,115.67,18,6.43,0.17,47497.1,2638.73,510.99,31,Fear,Fear
2025-04-15,1097.57,46,23.86,0.63,402833.44,8757.25,1097.57,38,Fear,Fear
2025-04-16,5053.32,64,78.96,0.5,1897524.65,29648.82,5114.33,29,Fear,Fear
2025-04-17,37.35,5,7.47,0.4,3258.17,651.63,47.43,30,Fear,Fear
2025-04-18,610.25,25,24.41,0.6,261616.36,10464.65,767.99,33,Fear,Fear
2025-04-19,6160.42,39,157.96,0.36,1893764.47,48558.06,6160.42,32,Fear,Fear
2025-04-20,5098.57,24,212.44,0.67,313618.3,13067.43,5098.69,37,Fear,Fear
2025-04-21,-5174.86,69,-75.0,0.33,1830804.32,26533.4,7450.68,39,Fear,Fear
2025-04-22,233.41,30,7.78,0.4,706352.22,23545.07,233.41,47,Neutral,Neutral
2025-04-23,-69512.32,47,-1478.99,0.51,647254.74,13771.38,96865.57,72,Greed,Greed
2025-04-24,5171.53,84,61.57,0.31,1489821.28,17735.97,5227.05,63,Greed,Greed
2025-04-25,3137.47,56,56.03,0.52,665480.38,11883.58,3137.67,60,Greed,Greed
2025-04-26,9.22,17,0.54,0.06,189029.82,11119.4,18.33,65,Greed,Greed
2025-04-28,-817.99,23,-35.56,0.65,469287.95,20403.82,3328.65,54,Neutral,Neutral
2025-04-29,5593.51,38,147.2,0.47,1728653.43,45490.88,5593.51,60,Greed,Greed
2025-04-30,-5.79,16,-0.36,0.0,368339.11,23021.19,5.79,56,Greed,Greed
2025-05-01,824.11,13,63.39,0.69,110140.88,8472.38,824.11,53,Neutral,Neutral
