trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2024-11-24,0.0,1,0.0,0.0,1109.86,1109.86,0.0,80,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-25,0.54,3,0.18,0.33,1473.43,491.14,0.54,82,Extreme Greed,Extreme Greed,,0,,0.544824,0.0,544.824,0,2.0,66.66666666666666,Greed,Extreme Greed (76-100)
2024-11-26,6.61,5,1.32,0.4,20887.79,4177.56,6.61,79,Extreme Greed,Extreme Greed,,0,,6.605586,0.0,6605.585999999999,0,1.5,60.0,Greed,Extreme Greed (76-100)
2024-11-27,-38.89,1,-38.89,0.0,14367.36,14367.36,38.89,75,Extreme Greed,Greed,,0,,0.0,38.885624,0.0,0,0.0,0.0,Greed,Greed (56-75)
2024-11-28,-1853.4,6,-308.9,0.33,115068.26,19178.04,2727.14,77,Extreme Greed,Extreme Greed,,0,,436.87188000000003,2290.267442,0.19075146945218638,0,2.0,66.66666666666666,Greed,Extreme Greed (76-100)
2024-11-29,573.59,2,286.79,0.5,1573.42,786.71,573.59,78,Extreme Greed,Extreme Greed,,0,,573.585288,0.0,573585.288,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-30,344.09,5,68.82,0.4,14311.48,2862.3,344.09,84,Extreme Greed,Extreme Greed,,0,,344.089446,0.0,344089.446,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-01,0.0,1,0.0,0.0,554.61,554.61,0.0,81,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-02,12.71,43,0.3,0.02,81744.92,1901.04,12.71,80,Extreme Greed,Extreme Greed,,0,,12.71424,0.0,12714.24,0,42.0,97.67441860465115,Greed,Extreme Greed (76-100)
2024-12-03,18887.34,128,147.56,0.71,515644.47,4028.47,18887.34,76,Extreme Greed,Extreme Greed,,0,,18887.337556,0.0,18887337.555999998,0,0.4065934065934066,28.90625,Greed,Extreme Greed (76-100)
